Created_at	Tweet_text	Screen_name	RT																																																																																																																																																						
Sun Feb 18 19:02:32 +0000 2018	"#Digital #Building #Blocks such as #AI #ML #AR #MR #DigitalTwins are playing key enabling roles. https:\/\/t.co\/kigp1c9TGR,""display_text_range"""	Dan Gamota	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:36 +0000 2018	"RT @iMariaJohnsen: How #AI and #MachineLearning Will Impact Content in #SEO \ud83e\udd13\ud83d\udc46https:\/\/t.co\/6iNDM2IsUp\n\n#ArtificialIntelligence #DigitalMark\u2026,""source"""	JulioSilvaJr	iMariaJohnsen:																																																																																																																																																						
Sun Feb 18 19:02:36 +0000 2018	"RT @ahmedjr_16: #Review of #MachineLearning A-Z\u2122 Hands-On #Python #R In #DataScience\n\nhttps:\/\/t.co\/qKEopzf8Cm  \n\n#DataScientist #AI #Artifi\u2026,""source"""	Jadirectivestwt	ahmedjr_16:																																																																																																																																																						
Sun Feb 18 19:02:37 +0000 2018	"RT @ahmedjr_16: #Review of #MachineLearning A-Z\u2122 Hands-On #Python #R In #DataScience\n\nhttps:\/\/t.co\/qKEopzf8Cm  \n\n#DataScientist #AI #Artifi\u2026,""source"""	fernandocuenca	ahmedjr_16:																																																																																																																																																						
Sun Feb 18 19:02:39 +0000 2018	"Marketing Analyst - Ignite Digital Talent ( high wycombe, UK )  - [ \ud83d\udccb More Info  https:\/\/t.co\/o46PNbSg8y ] #AI\u2026 https:\/\/t.co\/u8hddOgRRl,""display_text_range"""	Jobs In AI	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:39 +0000 2018	"RT @singularity_net: ICYDK: \AI is whatever hasn't been done yet.\"" - Douglas Hofstadter \n#Sunday #Inspiration #AI #ArtificialIntelligence #\u2026"",""source"""	nazkong	singularity_net:																																																																																																																																																						
Sun Feb 18 19:02:39 +0000 2018	"RT @MikeQuindazzi: 1,000 #robots change the game on a traditional pick, pack, and ship #warehouse reports the @wef. #AI #ArtificialIntellig\u2026,""source"""	JulioSilvaJr	MikeQuindazzi:																																																																																																																																																						
Sun Feb 18 19:02:42 +0000 2018	"RT @iMariaJohnsen: Build #intelligent #chatbots \ud83e\udd13\ud83d\udc46\n\n#chatbot #facebook #messengerbot #AI #ArtificialIntelligence #bots #twitter #telephonec\u2026,""source"""	JulioSilvaJr	iMariaJohnsen:																																																																																																																																																						
Sun Feb 18 19:02:47 +0000 2018	"The latest The https:\/\/t.co\/ccg2MyTXVk Daily! https:\/\/t.co\/eBlZJ72PSQ Thanks to @Deano140 @RealMadrid_Link @radherock720 #business #ai,""source"""	ChiwaoCom	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:47 +0000 2018	"RT @rajat_shrimal: This autonomous selfie drone has 13 cameras\n\n#Robotics #AI #ArtificialIntelligence #Drones #Tech #IoT #Fintech #Industry\u2026,""source"""	JulioSilvaJr	rajat_shrimal:																																																																																																																																																						
Sun Feb 18 19:02:52 +0000 2018	"RT @mywowscotland: Is it really that hard to imagine where machines can outperform us in most workplaces? Via @GrowthTribe #AI #Futurejobs\u2026,""source"""	BHSfpathways	mywowscotland:																																																																																																																																																						
Sun Feb 18 19:02:53 +0000 2018	"Test Lead. - Park Lane Recruitment Ltd ( London, UK )  - [ \ud83d\udccb More Info  https:\/\/t.co\/kr51JTYBvT ] #Robotics #AI\u2026 https:\/\/t.co\/GNazWHlA1U,""display_text_range"""	Jobs in Robotics	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:57 +0000 2018	"RT @emawware: https:\/\/t.co\/gnRglcOhq1 We are hiring! Answer 6 questions and join an amazing team who thrive to empower users with emotional\u2026,""source"""	chan_zagorskas	emawware:																																																																																																																																																						
Sun Feb 18 19:02:58 +0000 2018	"RT @SpirosMargaris: Human #speech will be replaced \n\nby #thought #communication by 2050, claims expert \n\nhttps:\/\/t.co\/zSL14QO5OL #fintech #\u2026,""source"""	JulioSilvaJr	SpirosMargaris:																																																																																																																																																						
Sun Feb 18 19:02:59 +0000 2018	"good job https:\/\/t.co\/PFIJ6lzhtw,""display_text_range"""	The best $$$airdrop	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:59 +0000 2018	"#Asia #Africa #SouthAmerica #NorthAmerica #Australia #Antarctica #Europe #Twinsoul #Senegal #Touba\u2026 https:\/\/t.co\/zNRuC4tcuq,""display_text_range"""	Charlot de Man	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:01 +0000 2018	"Bill Gates Warns Sillicon Valley of Technology\u2019s Dangerous Potential#Technology#AI https:\/\/t.co\/2THLNJXA18,""source"""	Ruby74698396	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:01 +0000 2018	"RT @ahmedjr_16: 17 Best #IT #Training &amp; #Certification Courses\n\nhttps:\/\/t.co\/TJ6MNCMYlW \n\n#AI #Analytics #IoT #IIoT #Amazon #AWS #tech #CCN\u2026,""source"""	Jadirectivestwt	ahmedjr_16:																																																																																																																																																						
Sun Feb 18 19:03:01 +0000 2018	"@iamisiano @dhikrullahi_o @whixxylee @cryptoairdropsz @DTcoindrop https:\/\/t.co\/PDGcrHup6n,""display_text_range"""	Oladepo Ajibola Stephen	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:02 +0000 2018	"RT @Ronald_vanLoon: Create #3D Masterpieces in #VR using Blocks\nvia @jblefevre60 |\n\n#VirtualReality #AI #ArtificialIntelligence #IoT #Inter\u2026,""source"""	JulioSilvaJr	Ronald_vanLoon:																																																																																																																																																						
Sun Feb 18 19:03:06 +0000 2018	"NEC\u30d1\u30fc\u30bd\u30ca\u30eb\u30b3\u30f3\u30d4\u30e5\u30fc\u30bf\u3068SRI\u304c\u5171\u540c\u958b\u767a\u3057\u305fAI\u3092\u4f7f\u3063\u305fWeb\u30b3\u30f3\u30c6\u30f3\u30c4\u30de\u30c3\u30c1\u30f3\u30b0\u300cCANDY\u300d https:\/\/t.co\/RZuaKeEyrJ #\u4eba\u5de5\u77e5\u80fd #AI\u3010\u30d0\u30c3\u30af\u30ca\u30f3\u30d0\u30fc\u3011,""source"""	aibiblio	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:06 +0000 2018	"RT @ahmedjr_16: #Review of #DeepLearning A-Z\u2122 Hands-On Artificial #NeuralNetworks\n\nhttps:\/\/t.co\/eto1VuzCwe\n\n#DataScience #DataScientist #AI\u2026,""source"""	Jadirectivestwt	ahmedjr_16:																																																																																																																																																						
Sun Feb 18 19:03:06 +0000 2018	"QA Tester - TXM Recruit Ltd ( Winchester, UK )  - [ \ud83d\udccb More Info  https:\/\/t.co\/P9jVJJuLFU ] #Robotics #AI\u2026 https:\/\/t.co\/fO0lIxRmAU,""display_text_range"""	Jobs in Robotics	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:09 +0000 2018	"RT @Ronald_vanLoon: Create #3D Masterpieces in #VR using Blocks\nvia @jblefevre60 |\n\n#VirtualReality #AI #ArtificialIntelligence #IoT #Inter\u2026,""source"""	Mada_GD	Ronald_vanLoon:																																																																																																																																																						
Sun Feb 18 19:03:09 +0000 2018	"Facial Recognition Is Accurate, if You\u2019re a White Guy\nhttps:\/\/t.co\/QizfQi6tHc \n#AI #ArtificialIntelligence #ML\u2026 https:\/\/t.co\/d2d7SliRoW,""source"""	MichaelZammuto	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:11 +0000 2018	"RT @ahmedjr_16: 8 Best SQL Courses Online To Advance Your #Career\n\nhttps:\/\/t.co\/loRevkRT1I  \n\n#AI #DataScience #DataScientist #BI  #IoT #II\u2026,""source"""	Jadirectivestwt	ahmedjr_16:																																																																																																																																																						
Sun Feb 18 19:03:11 +0000 2018	"#RT @MktgSciences: Banking\u2019s Strategic Roadmap: Priorities and Investments for The Year Ahead\u2026 https:\/\/t.co\/mvb3OXbyac,""source"""	AI_Mentors	MktgSciences:																																																																																																																																																						
Sun Feb 18 19:03:11 +0000 2018	"RT @ahmedjr_16: 8 Best SQL Courses Online To Advance Your #Career\n\nhttps:\/\/t.co\/loRevkRT1I  \n\n#AI #DataScience #DataScientist #BI  #IoT #II\u2026,""source"""	fernandocuenca	ahmedjr_16:																																																																																																																																																						
Sun Feb 18 19:03:13 +0000 2018	"RT @mjcavaretta: The best part of this article is at the end. If you can't scale your analytics practice nothing else matters. ht @tdav \n#a\u2026,""source"""	JulioSilvaJr	mjcavaretta:																																																																																																																																																						
Sun Feb 18 19:03:15 +0000 2018	"RT @ahmedjr_16: 21 Best #DataScience Courses to Become a #DataScientist \n\nhttps:\/\/t.co\/MqP4EYtLZe \n\n#AI #ArtificialIntelligence #BI  #Machi\u2026,""source"""	Jadirectivestwt	ahmedjr_16:																																																																																																																																																						
Sun Feb 18 19:03:19 +0000 2018	"#China   Alibaba started ANT. Online payment system being used by almost half of Chinese, now being used for insura\u2026 https:\/\/t.co\/frFrziedUr,""source"""	Halle2017	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:20 +0000 2018	"RT @MikeQuindazzi: 4 levels of #ArtificialIntelligence via #PwC\n#Automated - tasks done faster, less-expensive\n#Assisted - helping us make\u2026,""source"""	Mada_GD	MikeQuindazzi:																																																																																																																																																						
Sun Feb 18 19:03:21 +0000 2018	"RT @TheMegaTrends: #Top10 Hot Data #Security And #Privacy Technologies\n\n[@Forbes @GilPress]\n\n#CyberSecurity #BigData #Encryption #Cloud #PK\u2026,""source"""	JulioSilvaJr	TheMegaTrends:																																																																																																																																																						
Sun Feb 18 19:03:21 +0000 2018	"Test &amp; Configuration Engineer - Harvey Nash Plc ( Newcastle Upon Tyne, UK )  - [ \u27a1 https:\/\/t.co\/0aG5olk4Nt ]\u2026 https:\/\/t.co\/KkgVdfNAWj,""display_text_range"""	Jobs in Robotics	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:21 +0000 2018	"Next in #agritech? #Robotics researchers are pioneering #robots for #farming and #driverless tractors. #AI\u2026 https:\/\/t.co\/qnS0ckRCY0,""source"""	Findout_Ltd	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:24 +0000 2018	"RT @AitheonOfficial: Andrew and Ryan photoed with @SebastianThrun, founder of Udacity and renowned for his contributions to the innovation\u2026,""source"""	48Diman369	AitheonOfficial:																																																																																																																																																						
Sun Feb 18 19:03:24 +0000 2018	"RT @TopCyberNews: #Top10 Hot Data #Security And #Privacy Technologies\n\n[@Forbes @GilPress]\n\n#CyberSecurity #BigData #Encryption #Cloud #PKI\u2026,""source"""	JulioSilvaJr	TopCyberNews:																																																																																																																																																						
Sun Feb 18 19:03:24 +0000 2018	"RT @andi_staub: Good Read!\n\nThe Most Prevalent Myths: What Are the Consequences of Confusion About #AI?\n\n#ArtificialIntelligence #fintech #\u2026,""source"""	Mada_GD	andi_staub:																																																																																																																																																						
Sun Feb 18 19:03:24 +0000 2018	"Did you have adaptive videos when you went to school? Customized to your personal likings, styles &amp; abilities? I di\u2026 https:\/\/t.co\/80PzLInHJr,""display_text_range"""	#Altcoin Devvie	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:25 +0000 2018	"RT @andi_staub: Good Read!\n\nThe Most Prevalent Myths: What Are the Consequences of Confusion About #AI?\n\n#ArtificialIntelligence #fintech #\u2026,""source"""	fernandocuenca	andi_staub:																																																																																																																																																						
Sun Feb 18 19:03:25 +0000 2018	"RT @devnullius: Did you have adaptive videos when you went to school? Customized to your personal likings, styles &amp; abilities? I didn't! @B\u2026,""source"""	itknowingness	devnullius:																																																																																																																																																						
Sun Feb 18 19:03:26 +0000 2018	"RT @ProductiveSys: How #Blockchain and #SmartContracts Will Change Contract Management in 2018 - @icertis \n#AI #ML #DL #Algorithms #NLP #Da\u2026,""source"""	sajidmirza	ProductiveSys:																																																																																																																																																						
Sun Feb 18 19:03:27 +0000 2018	"#Asia #Africa #SouthAmerica #NorthAmerica #Australia #Antarctica #Europe #Twinsoul #Senegal #Touba\u2026 https:\/\/t.co\/P2Uuvs7r8u,""display_text_range"""	Charlot de Man	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:28 +0000 2018	"RT @MikeQuindazzi: Next in #agritech? #Robotics researchers are pioneering #robots for #farming and #driverless tractors. #AI #ArtificialIn\u2026,""source"""	JulioSilvaJr	MikeQuindazzi:																																																																																																																																																						
Sun Feb 18 19:03:28 +0000 2018	"RT @appliedAIbook: All the matrix #calculus you need for #deeplearning has been conveniently packaged &amp; clarified for you by @jeremyphoward\u2026,""source"""	ryancbriggs	appliedAIbook:																																																																																																																																																						
Sun Feb 18 19:03:29 +0000 2018	"RT @Gartner_inc: Discover, What to Do and Not Do With #AI, in this webinar: https:\/\/t.co\/zYE2XVRk33 @WhitAndrews #machinelearning https:\/\/t\u2026,""source"""	mskohli	Gartner_inc:																																																																																																																																																						
Sun Feb 18 19:03:29 +0000 2018	"#AI artificial intelligence, narendra modi, AI in india, bots, robots, Made in Prime Minister Narendra Modi on\u2026 https:\/\/t.co\/qDlJSh8IGl,""source"""	AI_Today	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:30 +0000 2018	"#AI Published by Wiley India, the book is said to be a \u201cmust-have primer for CxOs, executives and professionals on\u2026 https:\/\/t.co\/XLVm4hMHqQ,""source"""	AI_Today	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:30 +0000 2018	"#AI Played with chilly but sensual intelligence by Alicia Vikander, her performance tied with the Oscar-winning\u2026 https:\/\/t.co\/Z4DmRm5cuh,""source"""	AI_Today	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:30 +0000 2018	"#AI 4 Vintage College Math, Statistics, Calculus and Artificial Intelligence Hardcover Books 1) Probability and\u2026 https:\/\/t.co\/YZITH6Onpv,""source"""	AI_Today	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:31 +0000 2018	"#AI The road ahead for artificial intelligence (AI) depended on and would be driven by human intentions, Prime\u2026 https:\/\/t.co\/yr86yCFhFw,""source"""	AI_Today	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:31 +0000 2018	"RT @singularity_net: ICYDK: \AI is whatever hasn't been done yet.\"" - Douglas Hofstadter \n#Sunday #Inspiration #AI #ArtificialIntelligence #\u2026"",""source"""	DNBRS117	singularity_net:																																																																																																																																																						
Sun Feb 18 19:03:32 +0000 2018	"RT @AI_Mentors: #RT @MktgSciences: Banking\u2019s Strategic Roadmap: Priorities and Investments for The Year Ahead\n\nhttps:\/\/t.co\/Zbrb9bpOMi\n\n#ba\u2026,""source"""	Calcaware	AI_Mentors:																																																																																																																																																						
Sun Feb 18 19:03:32 +0000 2018	"RT @ahmedjr_16: 8 Best SQL Courses Online To Advance Your #Career\n\nhttps:\/\/t.co\/loRevkRT1I  \n\n#AI #DataScience #DataScientist #BI  #IoT #II\u2026,""source"""	Calcaware	ahmedjr_16:																																																																																																																																																						
Sun Feb 18 19:03:35 +0000 2018	"#Technology Trending News  is out! https:\/\/t.co\/zZA4QbgsMt #News @nandythegreatz @VainshteinAlex @EvolveQuickly #ai,""source"""	YODspica	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:35 +0000 2018	"RT @chboursin: The 11 clusters of Innovation\n\n#IoT #Entrepreneur #AI #tech #SMM #Fintech #startup #MachineLearning #bigdata #GrowthHacking\u2026,""source"""	mixo72	chboursin:																																																																																																																																																						
Sun Feb 18 19:03:36 +0000 2018	"RT @chboursin: The 11 clusters of Innovation\n\n#IoT #Entrepreneur #AI #tech #SMM #Fintech #startup #MachineLearning #bigdata #GrowthHacking\u2026,""source"""	fernandocuenca	chboursin:																																																																																																																																																						
Sun Feb 18 19:03:36 +0000 2018	"Systems Test &amp; Validation Graduate Engineer \/Engineer - [ \ud83d\udccb More Info  https:\/\/t.co\/bffQRMOcjm ] #Robotics #AI\u2026 https:\/\/t.co\/SyixbPc70e,""display_text_range"""	Jobs in Robotics	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:36 +0000 2018	"RT @AbyssCreations: Harmony's ready for her closeup, she loves getting in front of the camera. #harmonyAI #abysscreations #ArtificialIntell\u2026,""source"""	LordRiehl	AbyssCreations:																																																																																																																																																						
Sun Feb 18 19:03:37 +0000 2018	"RT @SaleMove: The biggest misconception about #artificialintelligence. #AI\nhttps:\/\/t.co\/Dh5WKtTHye https:\/\/t.co\/RqqYv4XT45,""source"""	JulioSilvaJr	SaleMove:																																																																																																																																																						
Sun Feb 18 19:03:38 +0000 2018	"RT @ProductiveSys: #ArtificialIntelligence can help you protect your personal #data \n#AI #ML #DL #Algorithms #NLP #DataScience #IoT #Indust\u2026,""source"""	sajidmirza	ProductiveSys:																																																																																																																																																						
Sun Feb 18 19:03:38 +0000 2018	"RT @ProductiveSys: #ArtificialIntelligence can help you protect your personal #data \n#AI #ML #DL #Algorithms #NLP #DataScience #IoT #Indust\u2026,""source"""	fernandocuenca	ProductiveSys:																																																																																																																																																						
Sun Feb 18 19:03:38 +0000 2018	"RT @ipfconline1: #MachineLearning Translation and the Google Translate Algorithm\n\nhttps:\/\/t.co\/vubSXYZH60  v\/ @kdnuggets\n#AI #NLP #DeepLear\u2026,""source"""	Mada_GD	ipfconline1:																																																																																																																																																						
Sun Feb 18 19:03:39 +0000 2018	"RT @bonzaiengineers: The evolution of #MachineLearning 2010 to 2040: https:\/\/t.co\/oZC0yeeI4T  via @MikeQuindazzi \n\n#AI #ArtificialIntellige\u2026,""source"""	hicriyasak	bonzaiengineers:																																																																																																																																																						
Sun Feb 18 19:03:40 +0000 2018	"RT @terminus7ai: What #PredictiveAnalytics, #BigData And The Rise Of #ArtificialIntelligence Mean For Real Estate https:\/\/t.co\/L9HWvTPMiP #\u2026,""source"""	JulioSilvaJr	terminus7ai:																																																																																																																																																						
Sun Feb 18 19:03:41 +0000 2018	"The latest The Tom Oates Daily! https:\/\/t.co\/YwQvssQUX8 Thanks to @Baxter #ai #blackpanther,""source"""	OatesTom	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:42 +0000 2018	"RT @ileadgen: 7 Best #MobileApps #Development Courses for Beginners \n\nhttps:\/\/t.co\/Y1uprA7vZO  \n\n#AppDev #appdesign #mobile #MobileApp #BI\u2026,""source"""	Jadirectivestwt	ileadgen:																																																																																																																																																						
Sun Feb 18 19:03:42 +0000 2018	"RT @jblefevre60: The top 10 #technologies of 2017 according @MIT\n#AI #QuantumComputing\n\n@evankirstel @ipfconline1 @JimMarous @SpirosMargari\u2026,""source"""	gabyesquincaf	jblefevre60:																																																																																																																																																						
Sun Feb 18 19:03:43 +0000 2018	"RT @mvasey: Cloud Computing in #IndustrialIoT Market: Result Associated with Existing and Promising Market, Forecast-2022 https:\/\/t.co\/1od5\u2026,""source"""	JulioSilvaJr	mvasey:																																																																																																																																																						
Sun Feb 18 19:03:47 +0000 2018	"RT @TopCyberNews: #Top10 Hot Data #Security And #Privacy Technologies\n\n[@Forbes @GilPress]\n\n#CyberSecurity #BigData #Encryption #Cloud #PKI\u2026,""source"""	NewsFeedDE	TopCyberNews:																																																																																																																																																						
Sun Feb 18 19:03:47 +0000 2018	"RT @Findout_Ltd: Next in #agritech? #Robotics researchers are pioneering #robots for #farming and #driverless tractors. #AI #ArtificialInte\u2026,""source"""	sectest9	Findout_Ltd:																																																																																																																																																						
Sun Feb 18 19:03:49 +0000 2018	"RT @MikeQuindazzi: Next in #agritech? #Robotics researchers are pioneering #robots for #farming and #driverless tractors. #AI #ArtificialIn\u2026,""source"""	aalyaqoot	MikeQuindazzi:																																																																																																																																																						
Sun Feb 18 19:03:50 +0000 2018	"RT @alexraffanyc: The biggest misconception about #artificialintelligence. #AI\nhttps:\/\/t.co\/UmfDzXuZoB https:\/\/t.co\/i4MZo7xP1G,""source"""	JulioSilvaJr	alexraffanyc:																																																																																																																																																						
Sun Feb 18 19:03:50 +0000 2018	"QA Lead - Surrey - B C T Resourcing ( Woking, UK )  - [ \ud83d\udccb More Info  https:\/\/t.co\/ZxuKTrTmtu ] #Robotics #AI\u2026 https:\/\/t.co\/K10FR99wsA,""display_text_range"""	Jobs in Robotics	#VALUE!																																																																																																																																																						
Sun Feb 18 19:03:53 +0000 2018	"RT @ipfconline1: #AI Should Be Welcomed, Not Feared\n\nhttps:\/\/t.co\/9eOUoxeucn    v\/ @TheEconomist\n\nCc @drfeifei @DeepLearn007 @iMariaJohnsen\u2026,""source"""	StrategyFintech	ipfconline1:																																																																																																																																																						
Sun Feb 18 19:03:53 +0000 2018	"RT @VectorZilla: Feature #09\/09 | Blockchain-based Marketplace\n\n#Blockchain #AI #TokenSale #VZT #Bitcoin #Ethereum #VectorZillaICO #VectorZ\u2026,""source"""	v1p_uweterodene	VectorZilla:																																																																																																																																																						
Sun Feb 18 19:03:53 +0000 2018	"RT @WKerner: ReRead the Great Post &amp; Interview by @leimer\n\n#FinTech, #AI and #Industry40\n\n#bigdata #IoT #Insurtech #payments\n@SpirosMargari\u2026,""source"""	StrategyFintech	WKerner:																																																																																																																																																						
Sun Feb 18 19:03:54 +0000 2018	"RT @EmmanuelAnique: Mixed Precision Training\n\nhttps:\/\/t.co\/nqpdbjqhGc [by @BaiduResearch , @nvidia ]\n#AI #MachineLearning #DeepLearning #Ne\u2026,""source"""	StrategyFintech	EmmanuelAnique:																																																																																																																																																						
Sun Feb 18 19:03:55 +0000 2018	"RT @salemoveyoon: The biggest misconception about #artificialintelligence. #AI\nhttps:\/\/t.co\/zUlxLHRkig https:\/\/t.co\/YWbiX5E3f5,""source"""	JulioSilvaJr	salemoveyoon:																																																																																																																																																						
Sun Feb 18 19:03:55 +0000 2018	"RT @MikeQuindazzi: The Segway #autonomous security #robots aim to make #retail shopping safer. (#ai #robotics #drones #iot #digital) https:\u2026,""source"""	LukasScheepers	MikeQuindazzi:																																																																																																																																																						
Sun Feb 18 19:03:59 +0000 2018	"RT @pierrepinna: Is The #AI Black Box Something To Be Scared Of?\n\ud83d\udc47\n\It's Not About The #Technology, But About How We Use It\""\n\nhttps"	Mada_GD	pierrepinna:																																																																																																																																																						
Sun Feb 18 19:04:00 +0000 2018	"RT @HaroldSinnott: Concept #drones makes a splash! @RutgersU develops Naviator #drone that flies and swims! Aims to help the @USNavy find u\u2026,""source"""	sreekotnur	HaroldSinnott:																																																																																																																																																						
Sun Feb 18 19:04:01 +0000 2018	"3 Reasons Why #AI Won\u2019t Steal Your #Marketing Job \n\nhttps:\/\/t.co\/AmRg6N82o9\n\n@ActOnSoftware @PamellaNeely\u2026 https:\/\/t.co\/vZu5AAk4WF,""display_text_range"""	Stefan Frisch	#VALUE!																																																																																																																																																						
Sun Feb 18 19:04:02 +0000 2018	"RT @Ruby74698396: Bill Gates Warns Sillicon Valley of Technology\u2019s Dangerous Potential#Technology#AI https:\/\/t.co\/2THLNJXA18,""source"""	SPEAKUPJULIA	Ruby74698396:																																																																																																																																																						
Sun Feb 18 19:04:04 +0000 2018	"The latest The Promo Press Daily! https:\/\/t.co\/ErIvy5UXAY Thanks to @bhagaman #seo #ai,""source"""	susfry	#VALUE!																																																																																																																																																						
Sun Feb 18 19:04:04 +0000 2018	"RT @DeepLearn007: Excellent, Worth Taking A Look At: An Executive\u2019s Guide To AI\n@McKinsey_MGI @McKAnalytics \n#AI #MachineLearning #DeepLear\u2026,""source"""	Mada_GD	DeepLearn007:																																																																																																																																																						
